names,scores,logfoldchanges,pvals,pvals_adj
NKG7,33.742203,1.5514737,1.3911786530601577e-249,8.92368376759178e-248
S100A14,33.681522,1.502495,1.0779275118795605e-248,6.895853916906515e-247
PPIB,33.63239,0.5326765,5.641777373988376e-248,3.5900309960118587e-246
TPM1,33.499306,1.4241453,4.933060401131836e-246,3.1307268742037217e-244
MGST3,33.468647,0.6961527,1.3784233996997346e-245,8.70188872327595e-244
CPVL,33.360363,1.28394,5.154002389094397e-244,3.2451226621440143e-242
RRBP1,33.29555,0.9777279,4.477899389112095e-243,2.8046654655470154e-241
NDUFA4,33.209557,0.33707163,7.83607589951101e-242,4.895194568451709e-240
CDKN1A,33.173286,1.9924866,2.6145778774282004e-241,1.6290726639413314e-239
DNAJA1,33.12945,0.6939099,1.1196732943772839e-240,6.958260582148284e-239
PTTG1IP,33.081036,1.013239,5.569576854740273e-240,3.4522719126040354e-238
UACA,32.91905,1.9285504,1.1735099370275588e-237,7.236442977660148e-236
TPD52L1,32.88356,2.3159773,3.776170475965553e-237,2.3225875271967048e-235
SSR3,32.49677,0.8095837,1.1844483996885923e-231,7.1744588382150035e-230
CD59,32.440624,0.7582094,7.344612267819204e-231,4.437555381814199e-229
CCL3L3,32.19505,2.1177826,2.0702186552366944e-227,1.2445239081706822e-225
IGFBP5,32.035973,1.6134477,3.44278144170688e-225,2.06446087153581e-223
