gene,f_statistic,p_value
CNOT7,0.03254094057459702,0.8571550005269399
ZSCAN26,0.03250373354120423,0.8572357989988423
FRS3,0.03247605778857881,0.8572959304039743
AP001469.3,0.032404098300324556,0.8574524015113966
HSPA4,0.03235968416635953,0.8575490666382394
FGD2,0.032327636789797984,0.8576188586935083
RPL23P8,0.03210683826118239,0.858100682694834
AL355032.1,0.03200389650224811,0.8583259055911974
IP6K2,0.03199898045582027,0.8583366705958846
AC138207.8,0.031937483300535814,0.8584714073364377
ZDHHC12,0.03184505288529471,0.8586741691855456
TALDO1,0.031773758512064786,0.8588307730901888
NFRKB,0.03162686609119732,0.8591540069424334
PTPN13,0.03159796019740816,0.8592177049364538
CDC37,0.03159154229721605,0.8592318517139228
DCHS1,0.03139831056024766,0.8596584828699197
RPL41,0.031378232098023415,0.8597028911539201
SNAP29,0.03134603295326391,0.8597741378153081
AC104117.3,0.030960519104477238,0.8606301085753508
MIR5010,0.030934076298681727,0.8606890214152773
BX842570.1,0.030892696430180663,0.8607812651851782
BTBD8,0.030700697531738364,0.8612101038707473
GSR,0.03066125430961252,0.8612983732167157
THBD,0.030608459334737697,0.8614166138871323
CXADR,0.0306024569959738,0.8614300634967591
BOD1L1,0.03057396500348588,0.8614939248605655
SAV1,0.030345859483411525,0.8620063055234752
RPL7P1,0.030085492729106884,0.8625935843637692
KLRA1P,0.029960675335300942,0.8628760488269929
FAM53C,0.02991106191476574,0.8629884933971258
ATG5,0.02968870591592249,0.8634936282323566
GCN1,0.029469320281027223,0.8639939281699731
AL391422.4,0.02941730246961113,0.8641128336423325
KLF10,0.029405843536033822,0.864139041714497
GEMIN5,0.029367174596551218,0.864227521441069
AC107021.1,0.029205485860648927,0.864598138263152
ZC3H15,0.029195524300809163,0.8646210062732698
CFAP58-DT,0.029042170518836324,0.8649735572074434
LINC00853,0.028985960250173016,0.8651030210359634
UFM1,0.028826424424651834,0.8654711702215572
FBXO4,0.028795043663392677,0.8655437086047263
COMMD5,0.028793499079163874,0.8655472800474977
EFNB3,0.028434961220829207,0.8663789877480478
BRD1,0.028433951633334363,0.8663813373019845
AC006042.1,0.028331222365475025,0.8666206378334439
APIP,0.028279964604356004,0.8667402060302971
SBF2,0.028249072470866502,0.8668123214691068
TSPYL4,0.02822190535036295,0.8668757746573832
AC012313.2,0.028182464621344494,0.8669679507632155
RPS4XP16,0.02789635220724085,0.8676386134281586
RPGRIP1L,0.027789702256041524,0.8678895107608909
AC024940.2,0.027721548059669116,0.8680501049103991
RNF25,0.02754538522241186,0.8684661462247512
CAPN10,0.027477994224022396,0.8686256640753681
CPM,0.027398973832124723,0.8688129655570832
GLB1L,0.027186982839678225,0.869316821759436
ASB1,0.02710990903720104,0.8695005093787908
WARS2,0.027067587155714713,0.8696014879168672
PPP3R1,0.026952355520074536,0.8698768383153229
AC012618.1,0.02693537245503502,0.8699174710830735
ZNF800,0.026834743530865658,0.8701585008470981
NRF1,0.026696893237706035,0.8704894391567976
CEP112,0.0266583329746282,0.8705821680531297
AC018553.1,0.026657401109359536,0.8705844098347726
CD99L2,0.02663213544015666,0.8706452066169823
EFCAB14,0.026627154380559934,0.87065719603525
BICRAL,0.02661902819567646,0.8706767582469807
RPL13AP7,0.02660158201149089,0.870718766906832
COX6CP1,0.026483806278259133,0.8710027298605473
TLE2,0.026366568247294858,0.8712860409506945
TPTEP1,0.026361112308902774,0.8712992412074256
TEX10,0.02633032635622816,0.8713737519357871
CYHR1,0.026326355426540684,0.8713833659659196
ING4,0.0261326946708738,0.8718531452094075
C6orf47,0.02612337319832405,0.8718758020862373
TBC1D1,0.02601500017026742,0.8721395199034735
SCYL2,0.02591909263012043,0.8723733744365961
RNASEH2B,0.02587661616400542,0.8724770880584009
SLC22A3,0.025839575395752358,0.8725676008014925
MAP3K21,0.025771854851348436,0.8727332548435683
CDK1,0.025687239295415856,0.8729405506030153
TMC4,0.02545553270568856,0.8735099973809144
HELQ,0.025122292529835524,0.8743336560504675
TMEM258,0.02509472779729903,0.8744020370468313
PTMAP4,0.02498675199674144,0.8746702687119491
TSR3,0.02494737861719558,0.8747682271934331
LINC01465,0.024842866082348664,0.875028632786859
ZMIZ2,0.02482728687400088,0.8750674983176218
AC106881.1,0.024781527367167745,0.8751817271229209
DNAJC18,0.024731035790160248,0.8753078940426777
AL022313.2,0.02464570961276696,0.8755214050672705
RPE,0.02454386458430606,0.8757767475690205
CDC20,0.024478001359244026,0.8759421668400366
BMT2,0.024383866449906262,0.8761789884481651
SRRT,0.024360535797711635,0.8762377553534754
ZPR1,0.024336610225315216,0.8762980507384095
AC010201.1,0.02427109847560464,0.8764633039817795
LSM12P1,0.02415838725564951,0.8767481533749812
SNAP47,0.024000294749800373,0.8771488419917924
NOP56,0.02398470438904956,0.8771884291987215
MIOS,0.023956890613611743,0.8772590869661808
ARAF,0.023938800598176404,0.8773050651630863
TRPC4AP,0.02383833653331984,0.8775607324248629
PLEKHG6,0.02380311030663675,0.8776505089372844
IQUB,0.023635278847539864,0.8780791762503549
TFAM,0.02362570378179875,0.8781036793535444
NUP160,0.023317187960520777,0.878895926020706
AC018653.3,0.023233993455112997,0.8791104806383065
RNF141,0.02319488669170441,0.8792114709229802
SEC63P1,0.023161705702057143,0.8792972266854002
PPP2R5E,0.02313374320045716,0.8793695441658724
GFPT1,0.022963205970233654,0.8798115642398927
LEMD2,0.022835070950236114,0.8801447868980696
AP1AR,0.022807271035171627,0.8802172083822829
ERG28,0.02278330524005516,0.880279677860053
CNTN6,0.02255903085582208,0.8808659102500581
SNAPC4,0.02248377794510994,0.8810632816623137
SEC11A,0.02237416905964308,0.8813513663371323
UBE2E3,0.022201412252862738,0.8818068912787889
RPSAP58,0.0220613515593936,0.8821775348555583
ZNF26,0.022030259133329726,0.8822599779549816
ZNF609,0.0219818170084073,0.8823885432308741
TMEM65,0.021765878404963416,0.8829634128338116
KCNJ15,0.021759543221282544,0.882980322201065
NASP,0.02168503815158012,0.8831793742564876
PRPF3,0.021655093551512797,0.883259474410671
POLR2L,0.02154607813764038,0.883551563698777
PIK3AP1,0.021526410700925234,0.8836043397644082
CD72,0.021510681774942694,0.8836465648667872
FRS2,0.021467036244156943,0.8837638161911905
APBB3,0.02145619195664784,0.8837929676572069
LAS1L,0.02137875804635489,0.8840013435458617
CDC27,0.02131964011730384,0.8841606904760303
AOC1,0.021178385800378677,0.884542344696861
PITPNA,0.020955737069443463,0.8851465669714598
CACFD1,0.02094987199503613,0.8851625277625631
JKAMP,0.02091796080360391,0.8852494085825345
RPL22P24,0.02086277873399565,0.8853998060953323
PRRC2B,0.02075387220285653,0.8856972255251632
FAM174C,0.020709518142628103,0.8858185829678674
STEAP3,0.020668519752992442,0.8859308769871198
ZMYND19,0.020629837553943802,0.8860369312814009
GPBP1,0.020612347125774356,0.8860849177966295
HTATSF1,0.020587534561091414,0.886153028900008
RUFY3,0.020426639109386382,0.8865957112285737
WHAMM,0.02041884293260573,0.8866172064879122
AP1M1,0.020335809066462495,0.88684640397879
FAM171A2,0.020319684603669685,0.8868909674963933
FAM86C2P,0.020301487736823033,0.8869412802375939
BDP1,0.020280369560095997,0.8869996990006684
RAPGEF6,0.020238245294498358,0.8871163192356568
CYP51A1,0.020224617363964654,0.8871540744138149
HEATR3,0.020166213691580427,0.8873160246819263
CCDC77,0.02015666331384982,0.8873425301226746
CYB5R3,0.020097763328081098,0.8875061387543955
HIPK3,0.020090480172762024,0.8875263864234622
USP10,0.020061899380057282,0.8876058791792615
CCDC115,0.020009716009610386,0.8877511677779772
POLR1A,0.01998537840629268,0.8878189944616849
DCAF8,0.01997078286713344,0.88785969111076
BUD13,0.019968587202426842,0.8878658145813196
ZNF774,0.01995197497080398,0.8879121554254471
NDST1-AS1,0.019893694729294323,0.8880748875788783
PASK,0.01961475743025258,0.8888571342419255
AC092143.3,0.019600664781351158,0.8888968054718054
SURF2,0.019524615262616563,0.8891111385935936
TTF2,0.019397934294648592,0.8894691153684093
AL353763.2,0.019176244864970212,0.8900984478238539
DGKQ,0.0191520974159932,0.8901672211212405
PPIA,0.018993049576736344,0.8906213067163703
MARCHF6,0.018958917728826602,0.8907190062499248
CHMP6,0.018880583688146026,0.8909435702652537
PPIH,0.01878359576584453,0.8912222690415416
ARHGAP20,0.01863256003462138,0.8916577402684517
WDR47,0.018586482925538654,0.8917909490129918
INTS14,0.018558181378002952,0.8918728520805175
SCAF8,0.018543467771993224,0.8919154575548308
CDK13,0.018421450338824953,0.8922694430432732
ZSWIM3,0.018371669448135237,0.8924142055561837
RNF152,0.018347307510871724,0.892485122715717
EXOSC6,0.018329614717684063,0.892536656181333
MBD2,0.018303744577196284,0.8926120532721433
SNRPEP4,0.018279239829635936,0.8926835210623126
RPL37AP1,0.01820117516814042,0.8929115215303091
CMTR2,0.017997605723792408,0.8935084318404547
ZNF407,0.017931685045085174,0.8937024617848675
SCYL1,0.017907967740801174,0.8937723597435094
RUSC1-AS1,0.017870104207647525,0.8938840462002557
COLQ,0.01779210292046011,0.8941145077029328
XIST,0.017720432349622922,0.8943267183159282
ALDH16A1,0.017686140771007827,0.8944284073294918
TBC1D31,0.017675935948515575,0.894458688307775
EIF4ENIF1,0.01767548115007202,0.8944600380475506
RBP5,0.017650380896223193,0.8945345573953437
AC107075.1,0.017622822184254785,0.8946164377194346
ARC,0.01758326283652601,0.8947340873927976
BRMS1L,0.017232835286363424,0.8957821973676158
FAM90A1,0.01710280404513744,0.8961738685525554
HNRNPL,0.017057352395244748,0.8963111319459554
SS18L2,0.01705542499265605,0.8963169567858394
METTL26,0.016956174360751013,0.8966173577977742
SH3D19,0.016881617431687698,0.8968436072152706
GAK,0.016869233835452555,0.8968812354757704
MRPL1,0.01685232066280243,0.8969326498112191
AP003392.4,0.016759055526866018,0.8972166388574251
TPCN2,0.01660126090106748,0.8976989539223764
FBXO38,0.01641845059385799,0.8982606552941433
CD248,0.016345891368632137,0.8984844809671311
AL031709.1,0.01620928831167345,0.8989072390824631
RBM41,0.01617581811438336,0.8990110982656855
BPTF,0.016163735139554682,0.8990486189796403
MSH3,0.016084668883085507,0.8992944924074197
RPH3AL,0.015936014796010055,0.8997584324622111
NPM1P39,0.01587383560453768,0.8999531417559383
RPS11P5,0.015749331500285107,0.9003441847321323
ATG101,0.015648345074371135,0.9006625180918428
MAP2K4,0.01550343290940639,0.901121144303576
USP5,0.015392764186446107,0.9014728628984588
CREBZF,0.015353876704463336,0.9015967567307701
STAM2,0.015199990149141047,0.9020886022253696
ZNF646,0.015023363620153603,0.9026562545011345
NCOA4,0.014991009679421881,0.9027606018433418
AHSA1,0.014945383153015199,0.9029079501398052
SCAF4,0.014936549312204722,0.9029365048998907
RTL8A,0.014868448069273078,0.9031569256547995
TRIM28,0.014839455848078357,0.9032509191654812
ZNF778,0.014769155771464218,0.903479221467637
FKBP10,0.014602666121307067,0.9040221125253236
CES1,0.01456506589806171,0.9041451537532408
POLE2,0.014450159493151496,0.9045221701961731
CHMP4A,0.014413039467449292,0.9046442885497383
BCAR1,0.014399213259679881,0.9046898151137386
MIR4645,0.014396391304104205,0.9046991098974005
FBXL14,0.01439101856989553,0.9047168088339795
NSUN5,0.014353875951339775,0.9048392563600638
UFL1,0.014336667580766217,0.9048960414211028
GTF2F1,0.014330347026475248,0.9049169069898095
MFSD5,0.014316208191058432,0.9049635993665701
CIB1,0.0142933344844991,0.905039187514783
CPEB2,0.01428146604344105,0.9050784319849424
LTV1,0.014213578567342655,0.9053032289388571
TRIM5,0.014205085508856874,0.9053313904380711
BRD4,0.014195889810529773,0.9053618913982586
ARSD,0.014018148550530286,0.9059534171917446
IGBP1-AS1,0.013968980279129307,0.9061177206336981
ZFPM2,0.013863778692519492,0.9064702559006185
RP9,0.013863266710790065,0.9064719748847437
CYRIB,0.013861563472318724,0.9064776937577566
FLI1,0.013833924407022814,0.9065705458194258
TYMS,0.01382537143201399,0.9065992981640756
AL354893.1,0.013779891708125937,0.9067523380224327
AC073842.2,0.013777513058184294,0.9067603492514661
AC132872.3,0.013769821216869742,0.9067862599669482
NEMF,0.013749123169364885,0.9068560198121096
KDM4A,0.013689631964223585,0.9070568234536251
C21orf58,0.013612193929872249,0.9073188677239243
TJAP1,0.013586668717840335,0.9074054085547781
FKBP3,0.013544664061712558,0.9075480009682786
MRFAP1L1,0.013458147506686693,0.9078424050162961
CORO6,0.013400712312373525,0.9080383791749297
NHLRC3,0.013356717211017935,0.9081887825666066
NKAP,0.013234816823451937,0.9086068324035305
GBP1P1,0.01313403720487819,0.9089539253423108
NMB,0.013092976603793915,0.9090957280225334
RNU6ATAC24P,0.013079703350854765,0.9091416153390494
HPS6,0.013074165659789768,0.9091607668122543
ATG3,0.012915284497840199,0.9097119999812027
AC024293.1,0.012779061056095876,0.9101873640482421
EXOSC2,0.012742593034766492,0.9103150574779898
MYOZ1,0.012672107579287585,0.9105623891828941
EMC4,0.012640779257659173,0.9106725430832006
LYL1,0.012606015134026574,0.9107949395860564
EEF1A1P24,0.012575184111603207,0.9109036316228762
LEMD3,0.012484390008858154,0.9112245043130092
NR2F6,0.012477336372662852,0.9112494817402551
RPL4P5,0.01245870870524786,0.9113154780240471
CCDC187,0.012456285315744543,0.9113240675638556
HOXB7,0.012415752047415587,0.9114678606016694
CNTROB,0.01241044795727599,0.9114866946015102
RNF139-AS1,0.012334218764341293,0.9117578240883809
ANKRD50,0.012271525908150848,0.9119814443131354
CASP2,0.012269309640876143,0.9119893601255282
SOX13,0.012206862011002743,0.9122127017557307
HNRNPH1,0.012137133564649098,0.9124627674343594
GLE1,0.012039501779570139,0.9128141272553083
TESK1,0.012033798816174371,0.9128346957252242
EFCAB13,0.012008358612422014,0.9129265092278893
ATRX,0.011944808558589823,0.913156291863143
TAF3,0.011803821503473836,0.9136682879603926
PTPN11,0.011766363307949354,0.9138048373606713
CORO7,0.011650822248688478,0.9142274197355641
H3P47,0.011646786068414922,0.9142422199848464
POLR1H,0.011640430972087373,0.9142655287156971
CTCF,0.011638690089902504,0.9142719149119247
SLC35A3,0.011605997244858269,0.9143919341614326
IL34,0.011456024191710764,0.9149447071291914
GPANK1,0.011261038063901009,0.9156688918604217
IGIP,0.011235314678191183,0.9157649013170323
RHOD,0.011218618717822593,0.9158272764854848
MPC2,0.011143309778717378,0.9161092115591399
E2F4,0.01113869693901271,0.916126511975269
EAF2,0.01104671803718429,0.9164722373781069
CWF19L1,0.011015179233128648,0.9165911186208262
DOHH,0.011012591809876873,0.9166008791950713
KCNC3,0.011003249817374392,0.9166361297820395
TEDC1,0.010843832877658246,0.9172400138956053
CCN2,0.010827637684146078,0.9173016129661117
CLTRN,0.010814483008589204,0.9173516815888656
TMEM268,0.01079848690532287,0.9174126065958192
HNRNPA2B1,0.010584229122860092,0.9182330987896499
PIN1,0.010560304680673972,0.9183252355000847
FURIN,0.010466830267436058,0.9186862349161113
TDG,0.010302582886505856,0.9193245288217847
LINC00654,0.010286877059673858,0.9193858328481789
SERP1,0.010179670264066349,0.919805558604873
LINC00997,0.010168974146155375,0.9198475572675506
