names,scores,logfoldchanges,pvals,pvals_adj,cluster
CCL5,35.668262,1.2638901,1.2279328375716229e-278,9.386428457424488e-277,1
DNAJA1,35.608234,1.0526582,1.0446529475658387e-277,7.934719499511193e-276,1
CCND1,35.323315,1.529701,2.576069840604816e-273,1.9141318946059263e-271,1
C8orf4,35.000362,2.2067633,2.2213649382564443e-268,1.6253326456490423e-266,1
HSPA8,34.61526,0.48488593,1.4892415342399235e-262,1.0604640758400123e-260,1
MX1,34.27961,2.019777,1.5798822003053922e-257,1.111772397779612e-255,1
GDF15,34.007378,2.5279608,1.7330602126092148e-253,1.2018898158518283e-251,1
SERPINA1,33.954395,1.2585422,1.050590213550362e-252,7.223109611898265e-251,1
MT-ND2,33.934147,0.22019514,2.089989437607125e-252,1.4328105239022368e-250,1
GNAS,33.78185,0.6148944,3.6436993460906714e-250,2.4766804134819714e-248,1
CLTA,33.524967,0.87505853,2.085899002439266e-246,1.3863116536767188e-244,1
HLA-B,33.234318,0.41861913,3.4396173469277065e-242,2.2485323672839428e-240,1
IGFN1,32.99858,3.9466312,8.512124395291115e-239,5.504353737344195e-237,1
MT-ATP6,32.993034,0.22585581,1.0223362862187501e-238,6.593104577916392e-237,1
MT-ND4,31.725073,0.22878413,7.0095779563253e-221,4.1927790545759784e-219,1
RPL30,140.60445,1.5609848,0.0,0.0,2
RPS12,127.9604,1.3350043,0.0,0.0,2
IL7R,127.09769,4.224439,0.0,0.0,2
TPT1,117.91344,1.109194,0.0,0.0,2
RPS27A,115.17961,1.076084,0.0,0.0,2
RPS7,111.62225,1.1229341,0.0,0.0,2
RPL11,110.96833,1.0757728,0.0,0.0,2
RPS23,110.77329,1.0527434,0.0,0.0,2
RPS3,110.3823,1.2302163,0.0,0.0,2
EEF1B2,108.414696,1.7122294,0.0,0.0,2
RPS13,107.20017,1.1585486,0.0,0.0,2
RPS3A,107.09069,1.0712675,0.0,0.0,2
RPL14,105.90963,1.1218263,0.0,0.0,2
RPL18,105.7365,1.0999947,0.0,0.0,2
RPL10,105.5264,0.87110674,0.0,0.0,2
RPL5,104.74446,1.1905612,0.0,0.0,2
RPS15A,104.5883,1.0801647,0.0,0.0,2
CD3D,103.947296,2.841636,0.0,0.0,2
RPS21,103.361786,1.270885,0.0,0.0,2
PTPRC,103.05681,2.6159334,0.0,0.0,2
RPL19,102.81018,1.0827293,0.0,0.0,2
RPL7A,97.68115,1.076904,0.0,0.0,2
RPL28,95.29087,0.8220595,0.0,0.0,2
CD3G,93.76523,2.8800268,0.0,0.0,2
CD3E,92.3797,2.597292,0.0,0.0,2
RPL13,90.72885,0.9484891,0.0,0.0,2
