"gene","mean_elderly","mean_young","log2FC","pvalue","padj"
"CPAMD8",3.21610740675774,3.92591298548367,-0.709805578725937,0.000613692473010959,0.064093073564298
"IRF2-DT",2.77327221248872,2.97031113668523,-0.197038924196514,0.00061451069005159,0.064093073564298
"CD40",5.35353266663769,5.79399137911865,-0.440458712480958,0.000632132060620149,0.0643483395798303
"CXCR6",1.43947063879376,1.79247801688503,-0.353007378091274,0.000636983891672912,0.0643483395798303
"PTPDC1",2.15941937396796,2.37089834332311,-0.21147896935515,0.000637222439992995,0.0643483395798303
"CTSW",2.97549851455176,3.40846809131836,-0.432969576766604,0.000637765542043344,0.0643483395798303
"TMEM217",1.62513243173363,1.83911819986025,-0.213985768126617,0.000640026306589292,0.0643483395798303
"MT-CO1",15.015606472932,14.7271943560022,0.288412116929724,0.000640536143603807,0.0643483395798303
"MT-ND4",14.7221050452145,14.4076608977516,0.314444147462916,0.000655282423585215,0.0654283517451701
"EPSTI1",2.83318444194944,3.20416556747779,-0.370981125528346,0.000679597772365388,0.0674449304392923
"HLA-E",9.53890251298155,9.76352302305545,-0.224620510073899,0.000687529373969818,0.0678210451732276
"PTGES3P1",3.845939863667,4.0806078723183,-0.234668008651302,0.000696941995568609,0.0678841827741406
"DLGAP4",5.03524741362352,5.20679870307421,-0.171551289450686,0.000699291293622798,0.0678841827741406
"NMB",6.40931721505827,6.98545494982306,-0.57613773476479,0.000705051830231602,0.0678841827741406
"RNU6-516P",3.41192314392234,3.73492495924168,-0.323001815319349,0.000706583119854295,0.0678841827741406
"SCARA3",6.1167414186086,6.75036363750795,-0.633622218899347,0.00070889742011469,0.0678841827741406
"AC011451.3",1.46938811548031,1.67942593752145,-0.210037822041143,0.00071641133619001,0.0681714899622185
"H4C12",1.23967363514727,1.50609140195666,-0.266417766809388,0.000728981572433011,0.0681714899622185
"NXNL2",0.973863713764193,1.22811218418845,-0.254248470424261,0.00073307089912988,0.0681714899622185
"AC026356.1",2.71637670282058,2.90479551434015,-0.188418811519572,0.000738402626184251,0.0681714899622185
"ANKRD53",1.68077384229977,1.95539852332287,-0.274624681023098,0.000741036053988224,0.0681714899622185
"THEMIS2",4.62306719859804,5.00354567109508,-0.380478472497046,0.000741707054409233,0.0681714899622185
"HLA-W",0.925780367684143,1.1075032708261,-0.181722903141954,0.000742280973221889,0.0681714899622185
"MED13",5.0960537213084,5.38981166567398,-0.29375794436558,0.000747360877660312,0.0681714899622185
"TSPYL5",4.04354293627556,4.34596924012031,-0.302426303844745,0.00075200499526639,0.0681714899622185
"IQCA1",4.44749160650663,4.7873358699557,-0.339844263449073,0.00075352914095643,0.0681714899622185
"BMERB1",4.8281004392517,5.15217599704569,-0.32407555779399,0.000762256392433921,0.0684417994608897
"NAP1L4",6.44022879983001,6.58614487152359,-0.145916071693575,0.000764876293211774,0.0684417994608897
"PTCHD4",3.2079072265427,3.61251130143775,-0.404604074895053,0.000780516634491161,0.0689370970003102
"TP53INP1",4.80419549833568,5.03321446170875,-0.229018963373066,0.000782330781175324,0.0689370970003102
"CD47",6.05104789598325,6.34376103475346,-0.292713138770207,0.000783041223942455,0.0689370970003102
"AL356417.2",3.21407427090963,3.62032896023474,-0.406254689325106,0.000787277157345004,0.06893937674612
"GZMA",2.95903905710908,3.45531006154484,-0.496271004435763,0.000805124329644959,0.0701271856273202
"CNTRL",3.07040117209295,3.2856209022996,-0.215219730206651,0.000827620494686071,0.0704748860930409
"EPHX3",1.30376352176564,1.65223637830922,-0.348472856543575,0.000836522166627912,0.0704748860930409
"PHF19",3.31191417059122,3.52242679209766,-0.210512621506438,0.000839586501357479,0.0704748860930409
"RNF5P1",2.30583006814413,2.69654727014029,-0.390717201996157,0.000840667723671782,0.0704748860930409
"TIPARP",5.56694501405559,5.97052470838607,-0.403579694330474,0.000842322601768062,0.0704748860930409
"C11orf95",4.45716932318289,4.72855690197902,-0.271387578796136,0.000843417108504903,0.0704748860930409
"ATP13A4",6.0680929111108,6.46174758403805,-0.393654672927243,0.00084574390215059,0.0704748860930409
"AC116667.1",2.12800736202496,2.38478605708214,-0.256778695057182,0.000850953338350312,0.0704748860930409
"TYMP",4.22101010010787,4.56390305254119,-0.342892952433324,0.000851834260402702,0.0704748860930409
"IFI44L",2.38253524526691,2.76566359099823,-0.383128345731319,0.000852154347873105,0.0704748860930409
"CACNB1",2.83897893008865,3.16040176586654,-0.321422835777899,0.000866857677052465,0.0707311949976952
"LONRF3",2.60143936114374,2.90196804885467,-0.300528687710931,0.000867717534792862,0.0707311949976952
"ELOCP20",0.980348845947554,1.28151676188524,-0.301167915937687,0.000871024974766217,0.0707311949976952
"MIR181A2HG",3.91743541991826,4.33711155111731,-0.419676131199053,0.000872531382566988,0.0707311949976952
"CSKMT",2.05899434239583,2.23500407710102,-0.176009734705191,0.000886016625709381,0.0712436434769022
"DSTNP1",2.10133369374458,2.30153002305878,-0.200196329314194,0.000890012860745393,0.0712436434769022
"RHOT1P1",0.938092791643699,1.24259266335212,-0.304499871708417,0.000901273811297553,0.0712436434769022
"PINLYP",2.16027896709804,2.50118396466541,-0.340904997567371,0.000903098588835158,0.0712436434769022
"AC005083.1",3.43320828597696,3.84807501747466,-0.414866731497691,0.000907529185609998,0.0712436434769022
